Name,Common name,SMILE,Odor,target,Odor Class,ABCIndex,Acidic Group Count,Basic Group Count,Adjacency Matrix,Aromatic Atom Count,Aromatic Bond Count,Atom Count,Autocorrelation ATS,Autocorrelation ATSC,BalabanJ,Barysz Matrix ,BCUT,BertzCT,BondCount,CarbonTypes,Chi,ConstitutionalSum,ConstitutionalMean,DistanceMatrix,EccentricConnectivityIndex,AtomTypeEState,EtaCoreCount,EtaShapeIndex,EtaVEMCount,FragmentComplexity,Framework,HBondAcceptor,HBondDonor,InformationContent,VMcGowan,LabuteASA,MID,PathCount,APol,Bpol,RingCount,nRot,SLogP,JGT10,Diameter,TopoShapeIndex,TopoPSA,Vabc,VAdjMat,MWC01,MW,WPath,Zagreb1
beta-ionyl acetate,beta-ionyl acetate,CC1=C(C(CCC1)(C)C)C=CC(C)OC(=O)C,"sweet berry, raspberry, violet jam, woody",0,Berry,12.67416205,0,0,0.196722438,0,0,41,2700.283353,1337.754426,2.425240734,55.90549692,16.01398919,347.9333206,41,5,13.05204176,22.93153185,0.559305655,67.07237407,242,0,8.166666667,0.346938776,12.75,17.02,0.146341463,2,0,1.195540811,210.19,104.7384707,32.83811266,17,42.657032,26.680968,1,3,4.0208,0.655443996,9,0.8,26.3,265.3108554,5.087462841,17,236.17763,552,82
perillyl acetate,perilla acetate,CC(=C)C1CCC(=CC1)COC(=O)C,"fruity, woody, raspberry",0,Berry,10.29661402,0,0,0.237698824,0,0,32,2261.394606,1081.94501,2.156041872,43.66744744,16.01398595,263.4952945,32,3,10.55204176,18.30604844,0.572064014,51.5964063,190,0,6.666666667,0.275,11.25,14.02,0.1875,2,0,1.247556249,167.92,85.6436444,27.25395873,14,33.646274,20.661726,1,3,2.8521,0.528546863,9,0.8,26.3,213.4228997,4.807354922,14,194.1306798,347,64
3-benzyl-4heptanone,morellone,CCCC(=O)C(CC)CC1=CC=CC=C1,"fruity, berry, woody",0,Berry,10.6755514,0,0,0.234487605,6,6,35,2295.986975,1103.306919,2.302597078,48.92139232,16.01005072,289.466827,35,2,11.09601184,20.13307714,0.575230775,54.99018535,204,0,7.333333333,0.181818182,15.25,15.01,0.171428571,1,0,1.136667851,185.93,92.51246213,29.37151484,15,37.51786,20.93214,1,6,3.6245,0.39189017,9,0.8,17.07,225.6881843,4.906890596,15,204.1514153,398,66
"Ethyl 2-methyl-3,4-pentadienoate",berry pentadienoate,CCOC(=O)C(C)C=C=C,"green, sweet, fruity",0,Berry,6.542300516,0,0,0.282175908,0,0,22,1678.241738,785.0147778,3.37592944,22.4279073,16.01398191,154.6405265,21,3,7.983127663,12.68056503,0.57638932,28.17204781,92,0,4.666666667,0.392857143,8.75,9.02,0,2,0,1.322179346,122.42,61.18970709,18.47916012,9,22.965516,14.642484,0,3,1.5267,0.47957483,7,0.75,26.3,156.5954178,4.169925001,9,140.0837296,135,38
p-Mentha-8-thiol-3-one,buchu mercaptan,CC1CCC(C(=O)C1)C(C)(C)S,"sulfury, minty, green ",0,Berry,9.07876717,0,0,0.267251687,0,0,30,2744.741963,1587.657497,2.565300112,29.70299151,32.06060425,180.7678258,30,3,9.353371151,16.77830409,0.559276803,31.96799227,106,0,6.166666667,0.432432432,7.75,12.02,0.2,2,1,1.29762623,158.82,80.33448767,23.00487925,12,32.404274,21.385726,1,1,2.7001,0.705522169,6,1,17.07,193.8226447,4.584962501,12,186.1078362,186,60
"2-[(1S)-2,2,3-trimethylcyclopent-3-en-1-yl]ethyl acetate",campholene acetate,CC1=CCC(C1(C)C)CCOC(=O)C,"sweet fresh lavender, floral, berry ",0,Berry,10.42228247,0,0,0.21820643,0,0,34,2263.426734,1130.198378,2.31500826,43.62270395,16.01398587,251.047344,34,5,10.76758471,18.84787625,0.554349301,48.26295372,175,0,6.666666667,0.35,10.25,14.02,0.147058824,2,0,1.221047785,172.22,86.33324743,26.96268247,14,34.97986,22.66814,1,3,2.932,0.649763416,8,1,26.3,216.0593587,4.807354922,14,196.1463299,326,68
E-beta -damascone,damascone,CC=CC(=O)C1=C(CCCC1(C)C)C,"fruity,floral,berry",0,Berry,10.293622,0,0,0.235045134,0,0,34,2151.722854,1064.074054,2.686418182,36.69256731,16.0100506,292.3574238,34,4,10.76758471,19.13307714,0.562737563,42.20935923,149,0,6.833333333,0.341463415,10.75,14.01,0.176470588,1,0,1.130278187,176.14,86.89504128,27.00228131,14,35.84786,20.93214,1,2,3.6582,0.620688838,7,0.75,17.07,221.928658,4.807354922,14,192.1514153,285,68
Ambrettolide,musk natural,C1CCCCOC(=O)CCCCCC=CCCC1,"sweet,soapy,musk",0,Berry,12.83731186,0,0,0.213848186,0,0,46,2848.61173,1463.725852,2.094596199,72.27602392,16.01398605,233.2514595,46,1,12.89105877,25.01518746,0.543808423,78.0448663,293,0,8.666666667,0.038461538,12.25,18.02,0.369565217,2,0,1.162563308,228.58,111.7930159,35.81963742,18,46.994204,30.693796,1,0,4.7806,0.128904967,9,0.125,26.3,285.2432996,5.169925001,18,252.2089301,701,74
iso-pentyl cinnamate,"cinnamic acid, isopentyl ester",CC(C)CCOC(=O)C=CC1=CC=CC=C1,"floral,amber,cocoa",0,Berry,11.6418779,0,0,0.216977512,6,6,34,2549.922848,1148.3598,1.979887527,57.60417662,16.01398517,339.012791,34,3,11.80311862,20.30604844,0.597236719,71.22960551,273,0,7.666666667,0.173913043,17.25,16.02,0.176470588,2,0,1.253297578,187.5,96.93640433,31.36138427,16,36.986274,20.661726,1,5,3.2891,0.377668629,11,0.833333333,26.3,231.8419523,5,16,218.1306798,551,70
ethyl-pentanoate,ethyl valerate,CCCCC(=O)OCC,"sweet,fruity,apple",0,Berry,5.766244049,0,0,0.303151528,0,0,23,1536.009745,799.1117029,2.954822573,22.2076955,16.01398117,78.98533617,22,3,7.112884175,12.22239284,0.531408384,25.02074591,83,0,4.166666667,0.32,6.25,8.02,0,2,0,1.264672679,116.93,56.20397104,16.65502353,8,22.629102,16.648898,0,4,1.7397,0.385368481,7,0.75,26.3,144.5723505,4,8,130.0993797,108,32
allylethyl persulfide,ethyl allyl disulphide,CCSSCC=C,"Alliceous, onion, garlic-like",1,Alliaceaous,4.242640687,0,0,0.359095678,0,0,17,2787.168445,1726.909326,2.447472888,8.963340064,32.16050671,43.34481289,16,3,5.535533906,10.08324852,0.593132266,16.6253823,54,0,4.166666667,0.24,4,6.02,0,2,0,1.332820405,109.71,53.15559859,12.83378878,6,20.81793,12.49207,0,4,2.5737,0.213472222,6,1,0,129.4179751,3.584962501,6,134.0223923,56,22
n-butyl sulfide,dibutyl sulfide,CCCCSCCCC,"green, grassy, violet-leaf ",1,Alliaceaous,5.656854249,0,0,0.313732835,0,0,27,2200.24572,1407.603155,2.595082707,22.41690065,32.06099799,37.83229392,26,4,6.949747468,14.06350499,0.520870555,27.74218932,96,0,4.833333333,0.206896552,4,8.01,0,1,0,1.086048612,139.93,63.41695585,16.82976754,8,28.262274,20.517726,0,6,3.3198,0.174198696,8,1,0,165.4333652,4,8,146.1129216,120,30
ethyl- 3-(furfurylthio)propionate,ethyl 3-(furfurylthio)propionate,CCOC(=O)CCSCC1=CC=CO1,"Onion, garlic, sulfuraceous",1,Alliaceaous,10.00888474,0,0,0.222428189,5,5,28,3252.613709,1612.774786,1.877094306,40.96359612,32.06099829,256.340644,28,4,10.22576835,17.12424669,0.611580239,57.08002796,221,0,6.833333333,0.12195122,13.75,14.04,0.178571429,4,0,1.547457159,161.96,87.81356242,27.41792455,14,31.341102,20.844898,1,6,2.466,0.318062699,10,1,39.44,195.2301807,4.807354922,14,214.0663653,387,60
4-methyl thiazole,4-methyl thiazole,CC1=CSC=N1,"alliaceous, ripe,nutty",1,Alliaceaous,4.352030487,0,0,0.399872143,5,5,11,1806.176453,912.4563802,2.18410557,5.422547484,32.0622449,111.1085055,11,1,4.405777394,7.299587828,0.663598893,8.82187003,29,0,3.233333333,0.154639175,7.5,6.02,0.454545455,2,0,1.67673703,74.09,40.65635649,11.57549817,6,14.013965,8.616035,1,0,1.45152,0.341269841,3,0.5,12.89,78.71680807,3.584962501,6,99.01427016,26,26
Dipropyl disulfide,onion oil,CCCSSCCC,"obnoxious,sulfide,onion",1,Alliaceaous,4.949747468,0,0,0.334183486,0,0,22,2935.496822,1908.701876,2.530060457,14.04240854,32.16050681,31.509775,21,4,6.242640687,12.16690413,0.553041097,21.83635335,74,0,4.666666667,0.214285714,3.5,7.02,0,2,0,1.240670532,128.1,60.21014374,14.83110795,7,25.155102,16.504898,0,5,3.1878,0.19239229,7,0.75,0,149.3504192,3.807354922,7,150.0536924,84,26
1-(propyltrisulfanyl)propane,dipropyl trisulfide,CCCSSSCCC,"sulfureous,alliaceous,pungent",1,Alliaceaous,5.656854249,0,0,0.313732835,0,0,23,3963.340422,2517.495197,2.595082707,15.56017299,32.20218378,41.56763142,22,4,6.949747468,13.35395888,0.580606908,27.74218932,96,0,5.5,0.181818182,4,8.03,0,3,0,1.324969286,144.45,69.73321585,16.82976754,8,28.055102,16.504898,0,6,3.836,0.174198696,8,1,0,167.8594437,4,8,182.0257634,120,30
methanethiol,methane mercaptan,CS,"Vegetable oil, alliaceous, eggy",1,Alliaceaous,0,0,0,0.707106781,0,0,6,1176.171977,790.5222088,1,0.800640605,32.0606035,2,5,0,2,3.27071036,0.545118393,1,2,0,1.333333333,1,0.5,1.01,0,1,1,1.251629167,41.3,19.89431769,3,1,7.237172,6.472828,0,0,0.546,0,1,0,0,44.36146865,1,1,48.00337113,1,2
2-methyl-3-(methylthio)furan,dimethylthiofuran,CC1=C(C=CO1)SC,"spicy,pungent,alliaceous",1,Alliaceaous,5.725803935,0,0,0.332866804,5,5,16,2157.524839,1130.498606,2.303026599,9.344485927,32.06110277,168.7913934,16,1,5.983127663,10.06916507,0.629322817,15.75721258,51,0,4.166666667,0.24,9,8.02,0.3125,2,0,1.530639062,98.16,53.07872664,15.46523806,8,19.056344,12.221656,1,1,2.30992,0.421626984,4,1,13.14,111.1022449,4,8,128.0295859,61,36
bis(methylthio)methane,truffle sulfide,CSCSC,"pungent, metallic, alliaceous",1,Alliaceaous,2.828427125,0,0,0.430940108,0,0,13,2496.608075,1595.768145,2.190609687,3.328440831,32.06261203,12.36452798,12,0,4.121320344,7.541420721,0.580109286,8.288215752,24,0,3.166666667,0.315789474,2,4.02,0,2,0,1.334679141,85.83,41.71535531,8.849873734,4,16.144344,12.945656,0,2,1.6699,0.261574074,4,1,0,97.46246357,3,4,108.0067423,20,14
2-[(methyldisulfanyl)methyl]furan,methyl furfuryl disulfide,CSSCC1=CC=CO1,"roasted coffee, sulfurous,cooked meat",1,Alliaceaous,6.363961031,0,0,0.303739597,5,5,17,3185.368439,1674.79538,1.9786517,12.55364301,32.1605595,148.1012865,17,1,6.527097737,11.25621982,0.662130578,22.78262294,86,0,5,0.1,9,9.03,0.294117647,3,0,1.64571137,114.51,62.60179875,17.59254002,9,21.956344,12.221656,1,3,2.7908,0.26537037,6,1,13.14,129.6112693,4.169925001,9,160.0016569,99,38
"1,4-dithiane",p-dithane,C1CSCCS1,"seafood-like,solvent,garlic",1,Alliaceaous,4.242640687,0,0,0.40824829,0,0,14,2640.872196,1608.388483,2,5.475492563,32.06202271,21.01955001,14,4,4.242640687,8.541420721,0.61010148,9,36,0,3.666666667,0,3,6.02,0.428571429,2,0,1.378783493,89.06,47.07446627,11.8125,6,17.814344,12.945656,1,0,1.4664,0,3,0,0,102.4019898,3.584962501,6,120.0067423,27,24
2-acetyl 3-methyl pyrazine,2-acetyl 3-methyl pyrazine,CC1=NC=CN=C1C(=O)C,"roasted coffee, cocoa, popcorn",2,Coffee,7.318356982,0,0,0.296474416,6,6,18,1666.337458,636.4534738,2.39604491,17.16109104,16.01005175,257.5379489,18,2,7.560477932,11.39803745,0.633224303,23.44376108,76,0,4.633333333,0.287769784,13.75,10.03,0.333333333,3,0,1.633731421,107.26,59.12704752,19.38481891,10,20.026344,11.173656,1,1,0.98762,0.475758547,5,0.666666667,42.85,126.6098089,4.321928095,10,136.0636629,114,46
difurfuryl disulfide,coffee difuran,C1=COC(=C1)CSSCC2=CC=CO2,"sulfurous,coffee,furfuryl mercaptan",2,Coffee,10.60660172,0,0,0.263139004,10,10,24,4020.425052,1886.453766,1.457739514,31.65530672,32.16050747,303.8504001,25,2,9.639981913,16.51284673,0.688035281,54.6594049,222,0,7.333333333,0,16.5,43.04,0.583333333,4,0,1.650022422,157.28,90.45322222,28.36166019,15,30.77193,15.96407,2,5,3.9542,0.211098668,9,0.8,26.28,179.0560604,4.906890596,15,226.0122216,373,66
2-(furan-2-yloxy)furan,difuryl ether,C1=COC(=C1)OC2=CC=CO2,"coffee, nutty, earthy",2,Coffee,8.485281374,0,0,0.293401891,10,10,17,1928.113355,602.2358439,1.705949139,19.58070247,16.01548256,261.6984453,18,0,7.518661569,11.76988072,0.692345925,30.16898571,118,0,5,0,16,34.03,0.647058824,3,0,1.483659164,102.27,63.19070108,22.36262746,12,19.766758,11.227242,2,2,2.6649,0.231157407,6,1,35.51,116.2362679,4.584962501,12,150.0316941,162,54
furan-2-ylmethyl 3-methylbutanoate,fufuryl isovalerate,CC(C)CC(=O)OCC1=CC=CO1,"berry,fruity,grape",2,Coffee,9.520557555,0,0,0.25090564,5,5,27,2224.770109,995.0010734,2.030812976,37.46487647,16.01458885,249.1433914,27,3,9.681798276,15.93719194,0.590266368,45.82620358,166,0,6,0.222222222,13.25,13.03,0.185185185,3,0,1.374252785,145.61,77.6904524,25.24994238,13,28.441102,18.384898,1,4,2.3689,0.443350586,8,1,39.44,176.7211562,4.700439718,13,182.0942943,289,58
1-(furan-2-yl)ethanethiol,methyl furfuryl thiol,CC(C1=CC=CO1)S,"roasted coffee, sulfurous,cooked meat",2,Coffee,5.835193734,0,0,0.336615739,5,5,16,2157.524839,1130.498606,2.242040082,11.52859087,32.06060397,143.5719615,16,1,5.983127663,10.06916507,0.629322817,15.92690319,51,0,4.166666667,0.32,8.5,8.02,0.3125,2,1,1.530639062,98.16,54.11068328,15.42009782,8,19.056344,12.221656,1,1,2.2704,0.385185185,4,1,13.14,111.1022449,4,8,128.0295859,62,36
